id,condition_level,question,response,utt,exp,condition_name
R_27WLi535zK3bFAb,good,informational goal,1,bad,smile,state_manipulation
R_27WLi535zK3bFAb,good,social goal,2,bad,smile,state_manipulation
R_27WLi535zK3bFAb,bad,informational goal,1,bad,smile,state_manipulation
R_27WLi535zK3bFAb,bad,social goal,3,bad,smile,state_manipulation
R_27WLi535zK3bFAb,no_info,informational goal,3,bad,smile,state_manipulation
R_27WLi535zK3bFAb,no_info,social goal,1,bad,smile,state_manipulation
R_27WLi535zK3bFAb,good,informational goal,1,good,frown,state_manipulation
R_27WLi535zK3bFAb,good,social goal,2,good,frown,state_manipulation
R_27WLi535zK3bFAb,bad,informational goal,1,good,frown,state_manipulation
R_27WLi535zK3bFAb,bad,social goal,3,good,frown,state_manipulation
R_27WLi535zK3bFAb,no_info,informational goal,1,good,frown,state_manipulation
R_27WLi535zK3bFAb,no_info,social goal,4,good,frown,state_manipulation
R_27WLi535zK3bFAb,good,informational goal,1,bad,frown,state_manipulation
R_27WLi535zK3bFAb,good,social goal,1,bad,frown,state_manipulation
R_27WLi535zK3bFAb,bad,informational goal,4,bad,frown,state_manipulation
R_27WLi535zK3bFAb,bad,social goal,1,bad,frown,state_manipulation
R_27WLi535zK3bFAb,no_info,informational goal,4,bad,frown,state_manipulation
R_27WLi535zK3bFAb,no_info,social goal,2,bad,frown,state_manipulation
R_3PzrWsX4hnPSbzw,good,informational goal,4,good,smile,state_manipulation
R_3PzrWsX4hnPSbzw,good,social goal,4,good,smile,state_manipulation
R_3PzrWsX4hnPSbzw,bad,informational goal,3,good,smile,state_manipulation
R_3PzrWsX4hnPSbzw,bad,social goal,3,good,smile,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,informational goal,4,good,smile,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,social goal,4,good,smile,state_manipulation
R_3PzrWsX4hnPSbzw,good,informational goal,1,bad,smile,state_manipulation
R_3PzrWsX4hnPSbzw,good,social goal,2,bad,smile,state_manipulation
R_3PzrWsX4hnPSbzw,bad,informational goal,2,bad,smile,state_manipulation
R_3PzrWsX4hnPSbzw,bad,social goal,1,bad,smile,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,informational goal,1,bad,smile,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,social goal,3,bad,smile,state_manipulation
R_3PzrWsX4hnPSbzw,good,informational goal,2,good,frown,state_manipulation
R_3PzrWsX4hnPSbzw,good,social goal,2,good,frown,state_manipulation
R_3PzrWsX4hnPSbzw,bad,informational goal,1,good,frown,state_manipulation
R_3PzrWsX4hnPSbzw,bad,social goal,4,good,frown,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,informational goal,2,good,frown,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,social goal,2,good,frown,state_manipulation
R_3PzrWsX4hnPSbzw,good,informational goal,3,bad,frown,state_manipulation
R_3PzrWsX4hnPSbzw,good,social goal,2,bad,frown,state_manipulation
R_3PzrWsX4hnPSbzw,bad,informational goal,4,bad,frown,state_manipulation
R_3PzrWsX4hnPSbzw,bad,social goal,2,bad,frown,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,informational goal,4,bad,frown,state_manipulation
R_3PzrWsX4hnPSbzw,no_info,social goal,2,bad,frown,state_manipulation
R_305ER9CYsuL7n8F,good,informational goal,3,good,smile,state_manipulation
R_305ER9CYsuL7n8F,good,social goal,4,good,smile,state_manipulation
R_305ER9CYsuL7n8F,bad,informational goal,4,good,smile,state_manipulation
R_305ER9CYsuL7n8F,bad,social goal,4,good,smile,state_manipulation
R_305ER9CYsuL7n8F,no_info,informational goal,4,good,smile,state_manipulation
R_305ER9CYsuL7n8F,no_info,social goal,4,good,smile,state_manipulation
R_305ER9CYsuL7n8F,good,informational goal,1,bad,smile,state_manipulation
R_305ER9CYsuL7n8F,good,social goal,2,bad,smile,state_manipulation
R_305ER9CYsuL7n8F,bad,informational goal,3,bad,smile,state_manipulation
R_305ER9CYsuL7n8F,bad,social goal,3,bad,smile,state_manipulation
R_305ER9CYsuL7n8F,no_info,informational goal,1,bad,smile,state_manipulation
R_305ER9CYsuL7n8F,no_info,social goal,3,bad,smile,state_manipulation
R_305ER9CYsuL7n8F,good,informational goal,1,good,frown,state_manipulation
R_305ER9CYsuL7n8F,good,social goal,2,good,frown,state_manipulation
R_305ER9CYsuL7n8F,bad,informational goal,1,good,frown,state_manipulation
R_305ER9CYsuL7n8F,bad,social goal,3,good,frown,state_manipulation
R_305ER9CYsuL7n8F,no_info,informational goal,1,good,frown,state_manipulation
R_305ER9CYsuL7n8F,no_info,social goal,2,good,frown,state_manipulation
R_305ER9CYsuL7n8F,good,informational goal,4,bad,frown,state_manipulation
R_305ER9CYsuL7n8F,good,social goal,3,bad,frown,state_manipulation
R_305ER9CYsuL7n8F,bad,informational goal,4,bad,frown,state_manipulation
R_305ER9CYsuL7n8F,bad,social goal,2,bad,frown,state_manipulation
R_305ER9CYsuL7n8F,no_info,informational goal,1,bad,frown,state_manipulation
R_305ER9CYsuL7n8F,no_info,social goal,1,bad,frown,state_manipulation
R_3h6mj0uSUIyKEMK,good,informational goal,3,good,smile,state_manipulation
R_3h6mj0uSUIyKEMK,good,social goal,3,good,smile,state_manipulation
R_3h6mj0uSUIyKEMK,bad,informational goal,3,good,smile,state_manipulation
R_3h6mj0uSUIyKEMK,bad,social goal,4,good,smile,state_manipulation
R_3h6mj0uSUIyKEMK,no_info,informational goal,3,good,smile,state_manipulation
R_3h6mj0uSUIyKEMK,no_info,social goal,3,good,smile,state_manipulation
R_3h6mj0uSUIyKEMK,good,informational goal,2,bad,smile,state_manipulation
R_3h6mj0uSUIyKEMK,good,social goal,2,bad,smile,state_manipulation
R_3h6mj0uSUIyKEMK,bad,informational goal,3,bad,smile,state_manipulation
R_3h6mj0uSUIyKEMK,bad,social goal,2,bad,smile,state_manipulation
R_3h6mj0uSUIyKEMK,no_info,informational goal,2,bad,smile,state_manipulation
R_3h6mj0uSUIyKEMK,no_info,social goal,1,bad,smile,state_manipulation
R_3h6mj0uSUIyKEMK,good,informational goal,1,good,frown,state_manipulation
R_3h6mj0uSUIyKEMK,good,social goal,4,good,frown,state_manipulation
R_3h6mj0uSUIyKEMK,bad,informational goal,1,good,frown,state_manipulation
R_3h6mj0uSUIyKEMK,bad,social goal,3,good,frown,state_manipulation
